"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"Department of Defence Australia","Australian Defence Public Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping;IP Security End System","Not Yet Included","","209E956AF04DF3996507C887D356230D6EB49FDBDD2D8A058FF50B8F80F690AA"
"Deutsche Telekom Security GmbH","T-TeleSec GlobalRoot Class 2","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","91E2F5788D5810EBA7BA58737DE1548A8ECACD014598BC0B143E041B17052552"
"Deutsche Telekom Security GmbH","T-TeleSec GlobalRoot Class 3","Included","serverAuth;clientAuth","Included","Included","Server Authentication;Client Authentication;OCSP Signing;Secure Email","Included","Websites","FD73DAD31C644FF1B43BEF0CCDDA96710B9CD9875ECA7E31707AF3E96D522BBD"
"Deutsche Telekom Security GmbH","Telekom Security SMIME ECC Root 2021","Not Included","","Not Included","Included","Client Authentication;Secure Email","Included","Email","3AE6DF7E0D637A65A8C81612EC6F9A142F85A16834C10280D88E707028518755"
"Deutsche Telekom Security GmbH","Telekom Security SMIME RSA Root 2023","Not Included","","Not Included","Included","Client Authentication;Secure Email","Included","Email","78A656344F947E9CC0F734D9053D32F6742086B6B9CD2CAE4FAE1A2E4EFDE048"
"Deutsche Telekom Security GmbH","Telekom Security TLS ECC Root 2020","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Included","Websites","578AF4DED0853F4E5998DB4AEAF9CBEA8D945F60B620A38D1A3C13B2BC7BA8E1"
"Deutsche Telekom Security GmbH","Telekom Security TLS RSA Root 2023","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Included","Websites","EFC65CADBB59ADB6EFE84DA22311B35624B71B3B1EA0DA8B6655174EC8978646"
"DigiCert","Baltimore CyberTrust Root","Removed","","Removed","Included","Server Authentication;Client Authentication;Code Signing;OCSP Signing;Secure Email;Time Stamping","Removed","","16AF57A9F676B0AB126095AA5EBADEF22AB31119D644AC95CD4B93DBF3F26AEB"
"DigiCert","DigiCert Assured ID Root CA","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","3E9099B5015E8F486C00BCEA9D111EE721FABA355A89BCF1DF69561E3DC6325C"
"DigiCert","DigiCert Assured ID Root G2","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","7D05EBB682339F8C9451EE094EEBFEFA7953A114EDB2F44949452FAB7D2FC185"
"DigiCert","DigiCert Assured ID Root G3","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","7E37CB8B4C47090CAB36551BA6F45DB840680FBA166A952DB100717F43053FC2"
"DigiCert","DigiCert Client ECC P384 Root G5","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","CD851C5C25467C0095A43927D0B2292D932975E84DCE4C5E794542C6574C3AA4"
"DigiCert","DigiCert Client RSA4096 Root G5","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","3AF21466920FA91FA31F4331E445C16BE2330024BFD2C239C0D85AB530714766"
